スポット名,緯度,経度,信頼度,ソース
武庫川尻一文字,34.6970449,135.3658169,high,"https://www.google.com/maps/search/%E6%AD%A6%E5%BA%AB%E5%B7%9D%E5%B0%BB%E4%B8%80%E6%96%87%E5%AD%97%20%E5%B0%BC%E5%B4%8E%E5%B8%82%20%E9%87%A3%E3%82%8A"
尼崎市立魚つり公園,34.6833048,135.3690643,high,"https://www.google.com/maps/search/%E5%B0%BC%E5%B4%8E%E5%B8%82%E7%AB%8B%E9%AD%9A%E3%81%A4%E3%82%8A%E5%85%AC%E5%9C%92%20%E5%B0%BC%E5%B4%8E%E5%B8%82%20%E9%87%A3%E3%82%8A"
鳴尾浜,34.6926016,135.3542162,high,"https://www.google.com/maps/search/%E9%B3%B4%E5%B0%BE%E6%B5%9C%20%E8%A5%BF%E5%AE%AE%E5%B8%82%20%E9%87%A3%E3%82%8A"
西宮ケーソン,34.7107442,135.3343669,high,"https://www.google.com/maps/search/%E8%A5%BF%E5%AE%AE%E3%82%B1%E3%83%BC%E3%82%BD%E3%83%B3%20%E8%A5%BF%E5%AE%AE%E5%B8%82%20%E9%87%A3%E3%82%8A"
南芦屋浜,34.7152527,135.3126243,high,"https://www.google.com/maps/search/%E5%8D%97%E8%8A%A6%E5%B1%8B%E6%B5%9C%20%E8%8A%A6%E5%B1%8B%E5%B8%82%20%E9%87%A3%E3%82%8A"
西宮浜,34.7088275,135.3414798,high,"https://www.google.com/maps/search/%E8%A5%BF%E5%AE%AE%E6%B5%9C%20%E8%A5%BF%E5%AE%AE%E5%B8%82%20%E9%87%A3%E3%82%8A"
甲子園浜,34.70719,135.3551737,high,"https://www.google.com/maps/search/%E7%94%B2%E5%AD%90%E5%9C%92%E6%B5%9C%20%E8%A5%BF%E5%AE%AE%E5%B8%82%20%E9%87%A3%E3%82%8A"
神戸空港親水護岸,34.6410342,135.2262423,high,"https://www.google.com/maps/search/%E7%A5%9E%E6%88%B8%E7%A9%BA%E6%B8%AF%E8%A6%AA%E6%B0%B4%E8%AD%B7%E5%B2%B8%20%E7%A5%9E%E6%88%B8%E5%B8%82%20%E9%87%A3%E3%82%8A"
ポートアイランド北公園,34.6768028,135.2042833,high,"https://www.google.com/maps/search/%E3%83%9D%E3%83%BC%E3%83%88%E3%82%A2%E3%82%A4%E3%83%A9%E3%83%B3%E3%83%89%E5%8C%97%E5%85%AC%E5%9C%92%20%E7%A5%9E%E6%88%B8%E5%B8%82%20%E9%87%A3%E3%82%8A"
HAT神戸,34.626722,134.9940308,high,"https://www.google.com/maps/search/HAT%E7%A5%9E%E6%88%B8%20%E7%A5%9E%E6%88%B8%E5%B8%82%20%E9%87%A3%E3%82%8A"
兵庫突堤,34.6532049,135.1481338,high,"https://www.google.com/maps/search/%E5%85%B5%E5%BA%AB%E7%AA%81%E5%A0%A4%20%E7%A5%9E%E6%88%B8%E5%B8%82%20%E9%87%A3%E3%82%8A"
和田防,34.6932963,135.1785353,high,"https://www.google.com/maps/search/%E5%92%8C%E7%94%B0%E9%98%B2%20%E7%A5%9E%E6%88%B8%E5%B8%82%20%E9%87%A3%E3%82%8A"
ポートアイランド西公園,34.668636,135.1933053,high,"https://www.google.com/maps/search/%E3%83%9D%E3%83%BC%E3%83%88%E3%82%A2%E3%82%A4%E3%83%A9%E3%83%B3%E3%83%89%E8%A5%BF%E5%85%AC%E5%9C%92%20%E7%A5%9E%E6%88%B8%E5%B8%82%20%E9%87%A3%E3%82%8A"
六甲アイランド,34.6877492,135.2700758,high,"https://www.google.com/maps/search/%E5%85%AD%E7%94%B2%E3%82%A2%E3%82%A4%E3%83%A9%E3%83%B3%E3%83%89%20%E7%A5%9E%E6%88%B8%E5%B8%82%20%E9%87%A3%E3%82%8A"
神戸港,34.6600092,135.168118,high,"https://www.google.com/maps/search/%E7%A5%9E%E6%88%B8%E6%B8%AF%20%E7%A5%9E%E6%88%B8%E5%B8%82%20%E9%87%A3%E3%82%8A"
須磨海岸,34.637359,135.0845719,high,"https://www.google.com/maps/search/%E9%A0%88%E7%A3%A8%E6%B5%B7%E5%B2%B8%20%E7%A5%9E%E6%88%B8%E5%B8%82%20%E9%87%A3%E3%82%8A"
須磨浦海釣り公園,34.637359,135.1020814,high,"https://www.google.com/maps/search/%E9%A0%88%E7%A3%A8%E6%B5%A6%E6%B5%B7%E9%87%A3%E3%82%8A%E5%85%AC%E5%9C%92%20%E7%A5%9E%E6%88%B8%E5%B8%82%20%E9%87%A3%E3%82%8A"
平磯海づり公園,34.626722,135.0640686,high,"https://www.google.com/maps/search/%E5%B9%B3%E7%A3%AF%E6%B5%B7%E3%81%A5%E3%82%8A%E5%85%AC%E5%9C%92%20%E7%A5%9E%E6%88%B8%E5%B8%82%20%E9%87%A3%E3%82%8A"
塩屋漁港,34.6309752,135.081765,high,"https://www.google.com/maps/search/%E5%A1%A9%E5%B1%8B%E6%BC%81%E6%B8%AF%20%E7%A5%9E%E6%88%B8%E5%B8%82%20%E9%87%A3%E3%82%8A"
垂水漁港,34.6265179,135.0372347,high,"https://www.google.com/maps/search/%E5%9E%82%E6%B0%B4%E6%BC%81%E6%B8%AF%20%E7%A5%9E%E6%88%B8%E5%B8%82%20%E9%87%A3%E3%82%8A"
長田港,34.6478497,135.0786604,high,"https://www.google.com/maps/search/%E9%95%B7%E7%94%B0%E6%B8%AF%20%E7%A5%9E%E6%88%B8%E5%B8%82%20%E9%87%A3%E3%82%8A"
アジュール舞子,34.6337963,135.03657,high,"https://www.google.com/maps/search/%E3%82%A2%E3%82%B8%E3%83%A5%E3%83%BC%E3%83%AB%E8%88%9E%E5%AD%90%20%E7%A5%9E%E6%88%B8%E5%B8%82%20%E9%87%A3%E3%82%8A"
明石港,34.6627497,134.9546785,high,"https://www.google.com/maps/search/%E6%98%8E%E7%9F%B3%E6%B8%AF%20%E6%98%8E%E7%9F%B3%E5%B8%82%20%E9%87%A3%E3%82%8A"
林崎漁港,34.6456828,134.9665937,high,"https://www.google.com/maps/search/%E6%9E%97%E5%B4%8E%E6%BC%81%E6%B8%AF%20%E6%98%8E%E7%9F%B3%E5%B8%82%20%E9%87%A3%E3%82%8A"
藤江漁港,34.6582549,134.9502625,high,"https://www.google.com/maps/search/%E8%97%A4%E6%B1%9F%E6%BC%81%E6%B8%AF%20%E6%98%8E%E7%9F%B3%E5%B8%82%20%E9%87%A3%E3%82%8A"
江井ヶ島漁港,34.6754433,134.9068824,high,"https://www.google.com/maps/search/%E6%B1%9F%E4%BA%95%E3%83%B6%E5%B3%B6%E6%BC%81%E6%B8%AF%20%E6%98%8E%E7%9F%B3%E5%B8%82%20%E9%87%A3%E3%82%8A"
大蔵海岸,34.6422299,135.0003168,high,"https://www.google.com/maps/search/%E5%A4%A7%E8%94%B5%E6%B5%B7%E5%B2%B8%20%E6%98%8E%E7%9F%B3%E5%B8%82%20%E9%87%A3%E3%82%8A"
明石新浜漁港,34.6407256,134.9802976,high,"https://www.google.com/maps/search/%E6%98%8E%E7%9F%B3%E6%96%B0%E6%B5%9C%E6%BC%81%E6%B8%AF%20%E6%98%8E%E7%9F%B3%E5%B8%82%20%E9%87%A3%E3%82%8A"
東二見人工島,34.6955144,134.8640937,high,"https://www.google.com/maps/search/%E6%9D%B1%E4%BA%8C%E8%A6%8B%E4%BA%BA%E5%B7%A5%E5%B3%B6%20%E6%98%8E%E7%9F%B3%E5%B8%82%20%E9%87%A3%E3%82%8A"
二見港,34.6920633,134.8530959,high,"https://www.google.com/maps/search/%E4%BA%8C%E8%A6%8B%E6%B8%AF%20%E6%98%8E%E7%9F%B3%E5%B8%82%20%E9%87%A3%E3%82%8A"
加古川河口,34.7063035,134.7915364,high,"https://www.google.com/maps/search/%E5%8A%A0%E5%8F%A4%E5%B7%9D%E6%B2%B3%E5%8F%A3%20%E5%8A%A0%E5%8F%A4%E5%B7%9D%E5%B8%82%20%E9%87%A3%E3%82%8A"
加古川尻,34.7063035,134.8090458,high,"https://www.google.com/maps/search/%E5%8A%A0%E5%8F%A4%E5%B7%9D%E5%B0%BB%20%E5%8A%A0%E5%8F%A4%E5%B7%9D%E5%B8%82%20%E9%87%A3%E3%82%8A"
高砂港,34.7535687,134.7833866,high,"https://www.google.com/maps/search/%E9%AB%98%E7%A0%82%E6%B8%AF%20%E9%AB%98%E7%A0%82%E5%B8%82%20%E9%87%A3%E3%82%8A"
高砂西港,34.7406085,134.7503853,high,"https://www.google.com/maps/search/%E9%AB%98%E7%A0%82%E8%A5%BF%E6%B8%AF%20%E9%AB%98%E7%A0%82%E5%B8%82%20%E9%87%A3%E3%82%8A"
伊保港,34.7406034,134.7951272,high,"https://www.google.com/maps/search/%E4%BC%8A%E4%BF%9D%E6%B8%AF%20%E9%AB%98%E7%A0%82%E5%B8%82%20%E9%87%A3%E3%82%8A"
別府港,34.7239785,134.8416226,high,"https://www.google.com/maps/search/%E5%88%A5%E5%BA%9C%E6%B8%AF%20%E5%8A%A0%E5%8F%A4%E5%B7%9D%E5%B8%82%20%E9%87%A3%E3%82%8A"
播磨新島,34.6970277,134.8383113,high,"https://www.google.com/maps/search/%E6%92%AD%E7%A3%A8%E6%96%B0%E5%B3%B6%20%E6%92%AD%E7%A3%A8%E7%94%BA%20%E9%87%A3%E3%82%8A"
姫路港,34.728725,134.6166952,high,"https://www.google.com/maps/search/%E5%A7%AB%E8%B7%AF%E6%B8%AF%20%E5%A7%AB%E8%B7%AF%E5%B8%82%20%E9%87%A3%E3%82%8A"
飾磨港,34.7817475,134.6506604,high,"https://www.google.com/maps/search/%E9%A3%BE%E7%A3%A8%E6%B8%AF%20%E5%A7%AB%E8%B7%AF%E5%B8%82%20%E9%87%A3%E3%82%8A"
的形漁港,34.728725,134.6166952,high,"https://www.google.com/maps/search/%E7%9A%84%E5%BD%A2%E6%BC%81%E6%B8%AF%20%E5%A7%AB%E8%B7%AF%E5%B8%82%20%E9%87%A3%E3%82%8A"
大塩漁港,34.7679514,134.7529217,high,"https://www.google.com/maps/search/%E5%A4%A7%E5%A1%A9%E6%BC%81%E6%B8%AF%20%E5%A7%AB%E8%B7%AF%E5%B8%82%20%E9%87%A3%E3%82%8A"
網干港,34.7707901,134.5731124,high,"https://www.google.com/maps/search/%E7%B6%B2%E5%B9%B2%E6%B8%AF%20%E5%A7%AB%E8%B7%AF%E5%B8%82%20%E9%87%A3%E3%82%8A"
白浜海水浴場,34.728725,134.615979,high,"https://www.google.com/maps/search/%E7%99%BD%E6%B5%9C%E6%B5%B7%E6%B0%B4%E6%B5%B4%E5%A0%B4%20%E5%A7%AB%E8%B7%AF%E5%B8%82%20%E9%87%A3%E3%82%8A"
室津漁港,34.5210345,134.8758067,high,"https://www.google.com/maps/search/%E5%AE%A4%E6%B4%A5%E6%BC%81%E6%B8%AF%20%E6%B7%A1%E8%B7%AF%E5%B8%82%20%E9%87%A3%E3%82%8A"
相生港,,,未取得,
赤穂港,34.7433792,134.3486353,high,"https://www.google.com/maps/search/%E8%B5%A4%E7%A9%82%E6%B8%AF%20%E8%B5%A4%E7%A9%82%E5%B8%82%20%E9%87%A3%E3%82%8A"
御崎,34.7331416,134.398285,high,"https://www.google.com/maps/search/%E5%BE%A1%E5%B4%8E%20%E8%B5%A4%E7%A9%82%E5%B8%82%20%E9%87%A3%E3%82%8A"
坂越漁港,34.7521982,134.4142812,high,"https://www.google.com/maps/search/%E5%9D%82%E8%B6%8A%E6%BC%81%E6%B8%AF%20%E8%B5%A4%E7%A9%82%E5%B8%82%20%E9%87%A3%E3%82%8A"
唐船サンビーチ,34.729436,134.395004,high,"https://www.google.com/maps/search/%E5%94%90%E8%88%B9%E3%82%B5%E3%83%B3%E3%83%93%E3%83%BC%E3%83%81%20%E8%B5%A4%E7%A9%82%E5%B8%82%20%E9%87%A3%E3%82%8A"
丸山漁港,34.2935596,134.6587409,high,"https://www.google.com/maps/search/%E4%B8%B8%E5%B1%B1%E6%BC%81%E6%B8%AF%20%E5%8D%97%E3%81%82%E3%82%8F%E3%81%98%E5%B8%82%20%E9%87%A3%E3%82%8A"
福浦漁港,34.7438481,134.3753313,high,"https://www.google.com/maps/search/%E7%A6%8F%E6%B5%A6%E6%BC%81%E6%B8%AF%20%E8%B5%A4%E7%A9%82%E5%B8%82%20%E9%87%A3%E3%82%8A"
岩屋漁港,34.590454,135.019088,high,"https://www.google.com/maps/search/%E5%B2%A9%E5%B1%8B%E6%BC%81%E6%B8%AF%20%E6%B7%A1%E8%B7%AF%E5%B8%82%20%E9%87%A3%E3%82%8A"
淡路島翼港,34.5571946,135.0124248,high,"https://www.google.com/maps/search/%E6%B7%A1%E8%B7%AF%E5%B3%B6%E7%BF%BC%E6%B8%AF%20%E6%B7%A1%E8%B7%AF%E5%B8%82%20%E9%87%A3%E3%82%8A"
浦漁港,34.5411588,134.9944619,high,"https://www.google.com/maps/search/%E6%B5%A6%E6%BC%81%E6%B8%AF%20%E6%B7%A1%E8%B7%AF%E5%B8%82%20%E9%87%A3%E3%82%8A"
富島漁港,34.548169,134.9286489,high,"https://www.google.com/maps/search/%E5%AF%8C%E5%B3%B6%E6%BC%81%E6%B8%AF%20%E6%B7%A1%E8%B7%AF%E5%B8%82%20%E9%87%A3%E3%82%8A"
郡家漁港,34.477422,134.845416,high,"https://www.google.com/maps/search/%E9%83%A1%E5%AE%B6%E6%BC%81%E6%B8%AF%20%E6%B7%A1%E8%B7%AF%E5%B8%82%20%E9%87%A3%E3%82%8A"
佐野漁港,34.4605487,134.9354013,high,"https://www.google.com/maps/search/%E4%BD%90%E9%87%8E%E6%BC%81%E6%B8%AF%20%E6%B7%A1%E8%B7%AF%E5%B8%82%20%E9%87%A3%E3%82%8A"
室津漁港,34.5210345,134.8758067,high,"https://www.google.com/maps/search/%E5%AE%A4%E6%B4%A5%E6%BC%81%E6%B8%AF%20%E6%B7%A1%E8%B7%AF%E5%B8%82%20%E9%87%A3%E3%82%8A"
育波漁港,34.530277,134.8884623,high,"https://www.google.com/maps/search/%E8%82%B2%E6%B3%A2%E6%BC%81%E6%B8%AF%20%E6%B7%A1%E8%B7%AF%E5%B8%82%20%E9%87%A3%E3%82%8A"
仮屋漁港,34.5134028,134.9864609,high,"https://www.google.com/maps/search/%E4%BB%AE%E5%B1%8B%E6%BC%81%E6%B8%AF%20%E6%B7%A1%E8%B7%AF%E5%B8%82%20%E9%87%A3%E3%82%8A"
志筑漁港,34.4633568,134.9015541,high,"https://www.google.com/maps/search/%E5%BF%97%E7%AD%91%E6%BC%81%E6%B8%AF%20%E6%B7%A1%E8%B7%AF%E5%B8%82%20%E9%87%A3%E3%82%8A"
洲本港,34.3504096,134.8494082,high,"https://www.google.com/maps/search/%E6%B4%B2%E6%9C%AC%E6%B8%AF%20%E6%B4%B2%E6%9C%AC%E5%B8%82%20%E9%87%A3%E3%82%8A"
炬口漁港,34.3531982,134.8939295,high,"https://www.google.com/maps/search/%E7%82%AC%E5%8F%A3%E6%BC%81%E6%B8%AF%20%E6%B4%B2%E6%9C%AC%E5%B8%82%20%E9%87%A3%E3%82%8A"
由良漁港,34.2868986,134.9445834,high,"https://www.google.com/maps/search/%E7%94%B1%E8%89%AF%E6%BC%81%E6%B8%AF%20%E6%B4%B2%E6%9C%AC%E5%B8%82%20%E9%87%A3%E3%82%8A"
津名港,34.4586196,134.9310173,high,"https://www.google.com/maps/search/%E6%B4%A5%E5%90%8D%E6%B8%AF%20%E6%B7%A1%E8%B7%AF%E5%B8%82%20%E9%87%A3%E3%82%8A"
塩田漁港,34.4185697,134.9010751,high,"https://www.google.com/maps/search/%E5%A1%A9%E7%94%B0%E6%BC%81%E6%B8%AF%20%E5%8D%97%E3%81%82%E3%82%8F%E3%81%98%E5%B8%82%20%E9%87%A3%E3%82%8A"
福良漁港,34.2799403,134.6927955,high,"https://www.google.com/maps/search/%E7%A6%8F%E8%89%AF%E6%BC%81%E6%B8%AF%20%E5%8D%97%E3%81%82%E3%82%8F%E3%81%98%E5%B8%82%20%E9%87%A3%E3%82%8A"
丸山漁港,34.2935596,134.6587409,high,"https://www.google.com/maps/search/%E4%B8%B8%E5%B1%B1%E6%BC%81%E6%B8%AF%20%E5%8D%97%E3%81%82%E3%82%8F%E3%81%98%E5%B8%82%20%E9%87%A3%E3%82%8A"
沼島漁港,34.2434583,134.7448954,high,"https://www.google.com/maps/search/%E6%B2%BC%E5%B3%B6%E6%BC%81%E6%B8%AF%20%E5%8D%97%E3%81%82%E3%82%8F%E3%81%98%E5%B8%82%20%E9%87%A3%E3%82%8A"
阿万漁港,34.2142545,134.7237144,high,"https://www.google.com/maps/search/%E9%98%BF%E4%B8%87%E6%BC%81%E6%B8%AF%20%E5%8D%97%E3%81%82%E3%82%8F%E3%81%98%E5%B8%82%20%E9%87%A3%E3%82%8A"
津居山漁港,35.6483641,134.8318726,high,"https://www.google.com/maps/search/%E6%B4%A5%E5%B1%85%E5%B1%B1%E6%BC%81%E6%B8%AF%20%E8%B1%8A%E5%B2%A1%E5%B8%82%20%E9%87%A3%E3%82%8A"
竹野漁港,35.6613315,134.7507279,high,"https://www.google.com/maps/search/%E7%AB%B9%E9%87%8E%E6%BC%81%E6%B8%AF%20%E8%B1%8A%E5%B2%A1%E5%B8%82%20%E9%87%A3%E3%82%8A"
気比漁港,35.6449462,134.5637601,high,"https://www.google.com/maps/search/%E6%B0%97%E6%AF%94%E6%BC%81%E6%B8%AF%20%E8%B1%8A%E5%B2%A1%E5%B8%82%20%E9%87%A3%E3%82%8A"
竹野浜,35.6613315,134.7507279,high,"https://www.google.com/maps/search/%E7%AB%B9%E9%87%8E%E6%B5%9C%20%E8%B1%8A%E5%B2%A1%E5%B8%82%20%E9%87%A3%E3%82%8A"
柴山漁港,35.655168,134.660983,high,"https://www.google.com/maps/search/%E6%9F%B4%E5%B1%B1%E6%BC%81%E6%B8%AF%20%E9%A6%99%E7%BE%8E%E7%94%BA%20%E9%87%A3%E3%82%8A"
香住漁港,35.6455334,134.5952356,high,"https://www.google.com/maps/search/%E9%A6%99%E4%BD%8F%E6%BC%81%E6%B8%AF%20%E9%A6%99%E7%BE%8E%E7%94%BA%20%E9%87%A3%E3%82%8A"
佐津漁港,35.6455334,134.5952356,high,"https://www.google.com/maps/search/%E4%BD%90%E6%B4%A5%E6%BC%81%E6%B8%AF%20%E9%A6%99%E7%BE%8E%E7%94%BA%20%E9%87%A3%E3%82%8A"
浜坂漁港,35.6304474,134.4409841,high,"https://www.google.com/maps/search/%E6%B5%9C%E5%9D%82%E6%BC%81%E6%B8%AF%20%E6%96%B0%E6%B8%A9%E6%B3%89%E7%94%BA%20%E9%87%A3%E3%82%8A"
諸寄漁港,35.6215501,134.424825,high,"https://www.google.com/maps/search/%E8%AB%B8%E5%AF%84%E6%BC%81%E6%B8%AF%20%E6%96%B0%E6%B8%A9%E6%B3%89%E7%94%BA%20%E9%87%A3%E3%82%8A"
居組漁港,35.6143407,134.3874827,high,"https://www.google.com/maps/search/%E5%B1%85%E7%B5%84%E6%BC%81%E6%B8%AF%20%E6%96%B0%E6%B8%A9%E6%B3%89%E7%94%BA%20%E9%87%A3%E3%82%8A"
三尾漁港,35.6577322,134.5041424,high,"https://www.google.com/maps/search/%E4%B8%89%E5%B0%BE%E6%BC%81%E6%B8%AF%20%E9%A6%99%E7%BE%8E%E7%94%BA%20%E9%87%A3%E3%82%8A"
鎧漁港,35.6534131,134.5751867,high,"https://www.google.com/maps/search/%E9%8E%A7%E6%BC%81%E6%B8%AF%20%E9%A6%99%E7%BE%8E%E7%94%BA%20%E9%87%A3%E3%82%8A"
余部漁港,35.65187,134.5579951,high,"https://www.google.com/maps/search/%E4%BD%99%E9%83%A8%E6%BC%81%E6%B8%AF%20%E9%A6%99%E7%BE%8E%E7%94%BA%20%E9%87%A3%E3%82%8A"
田結漁港,35.6449462,134.8439115,high,"https://www.google.com/maps/search/%E7%94%B0%E7%B5%90%E6%BC%81%E6%B8%AF%20%E8%B1%8A%E5%B2%A1%E5%B8%82%20%E9%87%A3%E3%82%8A"