スポット名,緯度,経度,検索URL
大阪港,34.6536,135.4319,"https://www.google.com/maps/search/%E5%A4%A7%E9%98%AA%E6%B8%AF%20%E5%A4%A9%E4%BF%9D%E5%B1%B1%20%E9%87%A3%E3%82%8A"
堺泉北港,34.5852,135.4438,"https://www.google.com/maps/search/%E5%A0%BA%E6%B3%89%E5%8C%97%E6%B8%AF%20%E9%87%A3%E3%82%8A"
堺出島漁港,34.5757,135.4578,"https://www.google.com/maps/search/%E5%A0%BA%E5%87%BA%E5%B3%B6%E6%BC%81%E6%B8%AF%20%E9%87%A3%E3%82%8A"
石津漁港,34.5553,135.4259,"https://www.google.com/maps/search/%E7%9F%B3%E6%B4%A5%E6%BC%81%E6%B8%AF%20%E5%A0%BA%E5%B8%82%20%E9%87%A3%E3%82%8A"
高石漁港,34.5299,135.4308,"https://www.google.com/maps/search/%E9%AB%98%E7%9F%B3%E6%BC%81%E6%B8%AF%20%E9%AB%98%E7%9F%B3%E5%B8%82"
岡田漁港,34.3896,135.2739,"https://www.google.com/maps/search/%E5%B2%A1%E7%94%B0%E6%B5%A6%E6%BC%81%E6%B8%AF%20%E6%B3%89%E5%8D%97%E5%B8%82"
シーサイドコスモ,34.6386,135.4027,"https://www.google.com/maps/search/%E3%82%B7%E3%83%BC%E3%82%B5%E3%82%A4%E3%83%89%E3%82%B3%E3%82%B9%E3%83%A2%20%E5%A4%A7%E9%98%AA%E5%8D%97%E6%B8%AF%20%E9%87%A3%E3%82%8A"
汐見埠頭,34.5125,135.3773,"https://www.google.com/maps/search/%E6%B1%90%E8%A6%8B%E5%9F%A0%E9%A0%AD%20%E6%B3%89%E5%A4%A7%E6%B4%A5%20%E9%87%A3%E3%82%8A"
岸和田一文字,34.4863,135.3651,"https://www.google.com/maps/search/%E5%B2%B8%E5%92%8C%E7%94%B0%E4%B8%80%E6%96%87%E5%AD%97%20%E6%97%A7%E4%B8%80%E6%96%87%E5%AD%97%20%E9%87%A3%E3%82%8A"
忠岡一文字,34.4931,135.3696,"https://www.google.com/maps/search/%E5%BF%A0%E5%B2%A1%E4%B8%80%E6%96%87%E5%AD%97%20%E9%87%A3%E3%82%8A"
助松埠頭,34.515,135.3927,"https://www.google.com/maps/search/%E5%8A%A9%E6%9D%BE%E5%9F%A0%E9%A0%AD%20%E6%B3%89%E5%A4%A7%E6%B4%A5%20%E9%87%A3%E3%82%8A"
大浜埠頭,34.5957,135.4411,"https://www.google.com/maps/search/%E5%A4%A7%E6%B5%9C%E5%9F%A0%E9%A0%AD%20%E5%A0%BA%E5%B8%82%20%E9%87%A3%E3%82%8A"
咲洲,34.6626,135.3717,"https://www.google.com/maps/search/%E5%92%B2%E6%B4%B2%20%E5%8D%97%E6%B8%AF%20%E9%87%A3%E3%82%8A"
多奈川護岸,34.3175,135.0801,"https://www.google.com/maps/search/%E5%A4%9A%E5%A5%88%E5%B7%9D%E8%AD%B7%E5%B2%B8%20%E5%B2%AC%E7%94%BA%20%E9%87%A3%E3%82%8A"
平林貯木場,34.6164,135.4561,"https://www.google.com/maps/search/%E5%B9%B3%E6%9E%97%E8%B2%AF%E6%9C%A8%E5%A0%B4%20%E5%A4%A7%E9%98%AA%E5%B8%82%E4%BD%8F%E4%B9%8B%E6%B1%9F%E5%8C%BA"
泉佐野旧港,34.4144,135.2994,"https://www.google.com/maps/search/%E6%B3%89%E4%BD%90%E9%87%8E%E6%97%A7%E6%B8%AF%20%E5%8C%97%E4%B8%AD%E9%80%9A%20%E9%87%A3%E3%82%8A"
淀川河口,34.6875,135.4184,"https://www.google.com/maps/search/%E6%B7%80%E5%B7%9D%E6%B2%B3%E5%8F%A3%20%E7%9F%A2%E5%80%89%E7%B7%91%E5%9C%B0%20%E9%87%A3%E3%82%8A"
大和川河口,,,未取得
石津川河口,34.5252,135.4708,"https://www.google.com/maps/search/%E7%9F%B3%E6%B4%A5%E5%B7%9D%E6%B2%B3%E5%8F%A3%20%E5%A0%BA%E5%B8%82%20%E9%87%A3%E3%82%8A"
近木川河口,34.447,135.3014,"https://www.google.com/maps/search/%E8%BF%91%E6%9C%A8%E5%B7%9D%E6%B2%B3%E5%8F%A3%20%E8%B2%9D%E5%A1%9A%20%E9%87%A3%E3%82%8A"
男里川河口,34.3674,135.2513,"https://www.google.com/maps/search/%E7%94%B7%E9%87%8C%E5%B7%9D%E6%B2%B3%E5%8F%A3%20%E6%B3%89%E5%8D%97%20%E9%87%A3%E3%82%8A"
樫井川河口,34.3827,135.2324,"https://www.google.com/maps/search/%E6%A8%AB%E4%BA%95%E5%B7%9D%E6%B2%B3%E5%8F%A3%20%E6%B3%89%E4%BD%90%E9%87%8E%20%E9%87%A3%E3%82%8A"
りんくうビーチ,34.3825,135.2645,"https://www.google.com/maps/search/%E3%82%8A%E3%82%93%E3%81%8F%E3%81%86%E3%83%93%E3%83%BC%E3%83%81%20%E3%82%BF%E3%83%AB%E3%82%A4%E3%82%B5%E3%82%B6%E3%83%B3%E3%83%93%E3%83%BC%E3%83%81%20%E6%B3%89%E5%8D%97"
泉南マーブルビーチ,34.3845,135.2505,"https://www.google.com/maps/search/SENNAN%20LONG%20PARK%20%E3%83%9E%E3%83%BC%E3%83%96%E3%83%AB%E3%83%93%E3%83%BC%E3%83%81"